Term,Total,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
REDCap,34894,0,0,0,0,0,0,1,3,1,0,4,1,0,2,2,3,2,2,3,12,28,61,174,341,607,896,1275,1649,2121,2732,3827,5571,6432
Amazon Mechanical Turk,23247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16,51,204,328,534,823,1107,1343,1644,1868,2086,2285,2478,2733,2617
Qualtrics,9244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,24,36,70,118,180,288,371,506,658,950,1446,1755
Google Forms,7050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,9,13,14,29,44,73,137,274,810,1413,1791
SurveyMonkey,4790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,12,30,33,62,122,171,184,224,257,289,324,355,389,392,442,501,483
LimeSurvey,1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,15,20,37,43,53,69,75,95,108,142,171,191,242
Press Ganey,1352,0,0,0,3,3,1,1,3,4,3,2,5,7,11,8,13,10,17,21,10,19,15,32,44,48,73,59,88,105,124,110,162,152
Open Data Kit,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,25,45,35,68,74,94,97,124,142,181,165
SoSci Survey,891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,10,14,37,38,54,83,148,214
DHIS2,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,8,7,13,19,49,51,85,126,141,183
QuestionPro,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,3,8,5,2,7,14,13,12,10,12,22,40,57,86
KoBoToolbox,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,2,7,11,19,41,73,81
SurveyGizmo,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,11,17,24,14,24,32,46,44,55,44,23
Microsoft Forms,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,35,59
Whirr,194,0,2,4,0,5,4,3,5,2,2,3,4,4,3,4,7,6,8,4,6,2,6,6,8,12,10,4,7,5,8,7,9,12
Teamscope,176,0,0,0,0,0,0,0,0,0,1,0,3,9,10,9,13,17,10,7,9,6,8,9,4,5,4,4,6,5,10,9,3,4
Zoomerang,132,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,4,7,5,8,13,15,14,20,12,10,2,5,3,3,1,1,1,0
EUSurvey,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,3,6,13,8,7,14,24,19
JotForm,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,1,2,3,0,5,9,9,14,21,17
Pulse Insights,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8,8,13,6,9,8,7,4,6,8,6,3
Get Satisfaction,107,0,0,1,1,0,1,1,0,2,3,2,1,1,3,2,2,0,1,6,6,4,10,3,5,1,3,7,2,7,6,5,6,5
LiquidFeedback,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,7,10,8,10,9,10,22,10
Pollscape,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,7,11,6,10,2,8,6,4,8,6,3,3,2,6,0,7
Typeform,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,11,8,11,20
SurveyPlanet,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,43,20,4,1
SmartSurvey,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,2,1,3,2,6,7,6,20,14
MicroPoll,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,5,1,4,4,5,6,4,11,7,17
CheckMarket,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,3,4,12,9,14,17
Forms.app,76,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,3,4,1,2,3,2,6,9,7,8,8
SurveyCTO,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,9,11,15,11
Chisquares,74,0,0,0,0,1,1,3,5,1,2,3,0,4,4,3,5,4,2,3,1,4,5,3,2,4,1,1,1,0,0,0,1,2
Wufoo,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,1,6,3,6,8,3,10,6,1,5,6
Survs,71,3,1,1,2,1,0,1,0,3,3,2,0,2,2,0,0,1,0,0,1,3,0,1,0,1,2,1,3,2,0,0,1,2
SurveyMethods,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,4,1,2,2,7,6,2,2,6,3,4,9,4
Survio,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,4,6,8,5,15
Fillout,47,0,1,0,0,0,0,1,2,0,0,2,1,0,0,1,0,1,3,0,0,0,1,2,1,1,1,2,3,4,2,3,8,1
magpi.com,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,4,6,7,8,0,7,2
Journey Surveys,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,1,2,3,2,1,4,2,5
Formstack,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,7,4,2,9
